UDI,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,Temperature Difference,Mechanical Power,Torque Speed Ratio,Tool Wear Risk,Temperature Stress,Temperature_Torque_Interaction,Speed_Torque_Interaction,Wear_Power_Interaction
1,M,298.1,308.6,1551,42.8,0,0,10.5,6951.5905601573495,0.02759509991773365,0.0,91993.66000000002,449.4,66382.79999999999,0.0
2,L,298.2,308.7,1408,46.3,3,0,10.5,6826.722724152667,0.03288352270391795,0.012,92054.34,486.15,65190.399999999994,20480.168172458
3,L,298.1,308.5,1498,49.4,5,0,10.399999999999977,7749.387542560966,0.03297730304874679,0.02,91963.85,513.7599999999989,74001.2,38746.93771280483
4,L,298.2,308.6,1433,39.5,7,0,10.400000000000034,5927.504658915662,0.027564549876088938,0.028,92024.52,410.8000000000013,56603.5,41492.53261240963
5,L,298.2,308.7,1408,40.0,9,0,10.5,5897.816608339238,0.028409090888913996,0.036,92054.34,420.0,56320.0,53080.34947505314
6,M,298.1,308.6,1425,41.9,11,0,10.5,6252.554778807085,0.02940350875129578,0.044,91993.66000000002,439.95,59707.5,68778.10256687793
7,L,298.1,308.6,1558,42.4,14,0,10.5,6917.703247400628,0.02721437738946445,0.056,91993.66000000002,445.2,66059.2,96847.8454636088
8,L,298.1,308.6,1527,40.2,16,0,10.5,6428.264055922363,0.026326129648771363,0.064,91993.66000000002,422.1,61385.4,102852.2248947578
9,M,298.3,308.7,1667,28.6,18,0,10.399999999999977,4992.6399890359235,0.017156568675970863,0.072,92085.21,297.4399999999994,47676.200000000004,89867.51980264662
10,M,298.5,309.0,1741,28.0,21,0,10.5,5104.878622573175,0.01608271107634537,0.084,92236.5,294.0,48748.0,107202.45107403667
11,H,298.4,308.9,1782,23.9,24,0,10.5,4459.993426595285,0.01341189673770376,0.096,92175.75999999998,250.95,42589.799999999996,107039.84223828684
12,H,298.6,309.1,1423,44.3,29,0,10.5,6601.4181710127195,0.031131412486906943,0.116,92297.26000000001,465.15,63038.899999999994,191441.12695936888
13,M,298.6,309.1,1339,51.1,34,0,10.5,7165.229332576969,0.038162808037219706,0.136,92297.26000000001,536.5500000000001,68422.90000000001,243617.79730761694
14,M,298.6,309.2,1742,30.0,37,0,10.599999999999966,5472.6544025534195,0.01722158437587739,0.148,92327.12000000001,317.999999999999,52260.0,202488.2128944765
15,L,298.6,309.2,2035,19.6,40,0,10.599999999999966,4176.85215270275,0.009631449626716733,0.16,92327.12000000001,207.75999999999934,39886.0,167074.08610810997
16,L,298.6,309.2,1542,48.4,42,0,10.599999999999966,7815.528539894543,0.03138780802114928,0.168,92327.12000000001,513.0399999999984,74632.8,328252.19867557083
17,M,298.6,309.2,1311,46.6,44,0,10.599999999999966,6397.602111623326,0.035545385175022585,0.176,92327.12000000001,493.95999999999844,61092.6,281494.49291142635
18,M,298.7,309.2,1410,45.6,47,0,10.5,6733.061375173645,0.03234042550897842,0.188,92358.04,478.8,64296.0,316453.8846331613
19,H,298.8,309.2,1306,54.5,50,0,10.399999999999977,7453.6380101520235,0.041730474700053234,0.2,92388.96,566.7999999999988,71177.0,372681.90050760115
20,M,298.9,309.3,1632,32.5,55,0,10.400000000000034,5554.335811546754,0.019914215674072172,0.22,92449.76999999999,338.00000000000114,53040.0,305488.46963507147
21,H,298.9,309.3,1375,42.7,58,0,10.400000000000034,6148.358622463024,0.03105454543196033,0.232,92449.76999999999,444.08000000000146,58712.50000000001,356604.8001028554
22,L,298.8,309.3,1450,44.8,63,0,10.5,6802.595292573098,0.03089655170282996,0.252,92418.84000000001,470.4,64959.99999999999,428563.5034321052
23,M,298.9,309.3,1581,30.7,65,0,10.400000000000034,5082.75133831639,0.01941808980428963,0.26,92449.76999999999,319.28000000000105,48536.7,330378.8369905653
24,L,299.0,309.4,1758,25.7,68,0,10.399999999999977,4731.3013681593,0.01461888508838516,0.272,92510.59999999999,267.2799999999994,45180.6,321728.4930348324
25,M,299.0,309.4,1561,37.3,70,0,10.399999999999977,6097.339157768725,0.023894939126268454,0.28,92510.59999999999,387.9199999999991,58225.299999999996,426813.7410438108
26,L,299.0,309.5,1861,23.3,73,0,10.5,4540.784717670103,0.012520150450016039,0.292,92540.5,244.65,43361.3,331477.28438991756
27,L,299.1,309.5,1512,39.0,75,0,10.399999999999977,6175.114519896097,0.025793650776591497,0.3,92571.45000000001,405.5999999999991,58968.0,463133.58899220725
28,H,299.1,309.4,1811,24.6,77,0,10.299999999999955,4665.327922433915,0.013583655431483349,0.308,92541.54,253.3799999999989,44550.600000000006,359230.25002741144
29,L,299.1,309.4,1439,44.2,82,0,10.299999999999955,6660.574360679816,0.030715774822296194,0.328,92541.54,455.259999999998,63603.8,546167.097575745
30,L,299.0,309.4,1693,30.1,84,0,10.399999999999977,5336.445417069278,0.017779090361618965,0.336,92510.59999999999,313.03999999999934,50959.3,448261.4150338193
31,M,299.1,309.5,1339,48.2,86,0,10.399999999999977,6758.592051471817,0.035997012669158314,0.344,92571.45000000001,501.27999999999895,64539.8,581238.9164265763
32,L,299.0,309.4,1798,25.5,89,0,10.399999999999977,4801.296052481281,0.01418242490868608,0.356,92510.59999999999,265.1999999999994,45849.0,427315.348670834
33,L,299.0,309.4,1419,48.3,91,0,10.399999999999977,7177.251160464705,0.03403805494430017,0.364,92510.59999999999,502.31999999999886,68537.7,653129.8556022882
34,L,298.9,309.3,1665,32.5,93,0,10.400000000000034,5666.647748912589,0.019519519507796082,0.372,92449.76999999999,338.00000000000114,54112.5,526998.2406488708
35,M,298.8,309.1,1559,34.7,95,0,10.300000000000011,5665.0560086347705,0.02225785758674929,0.38,92359.08000000002,357.4100000000004,54097.3,538180.3208203032
